hidden nodes each layer,hidden layers,RMSE
1,1,0.037037
1,2,0.035437
1,3,0.037762
1,4,0.041521
2,1,0.030000
2,2,0.029368
2,3,0.024117
2,4,0.026003
3,1,0.033097
3,2,0.024056
3,3,0.023672
3,4,0.024169
4,1,0.029184
4,2,0.020802
4,3,0.019533
4,4,0.018291
5,1,0.022513
5,2,0.020129
5,3,0.018626
5,4,0.017988
6,1,0.030475
6,2,0.022238
6,3,0.017512
6,4,0.019925
7,1,0.030963
7,2,0.019446
7,3,0.018318
7,4,0.019615
8,1,0.025826
8,2,0.022254
8,3,0.018322
8,4,0.016125
9,1,0.033424
9,2,0.019236
9,3,0.016291
9,4,0.015250
10,1,0.026981
